"id","SEX","AGE","PREFECTURE","JOB","一人暮らし","配偶者","家族","朝食の頻度","日食の頻度","外朝食の頻度","外日食の頻度","内朝食の頻度","内日食の頻度","作朝食の頻度","作日食の頻度","料理人","購入人"
9794,1,35,40,0,0,1,1,6.5,6.25,4.25,4.25,6,4,5.5,5.25,"配偶者","配偶者"
9795,1,41,14,0,0,1,1,6,6,2,2,6,6,2,2,"配偶者","配偶者"
9796,1,29,20,0,0,0,1,2,6.5,1.5,1.5,NA,6.5,NA,1,NA,NA
9797,1,54,12,0,0,0,1,1,6.5,2,2,NA,5,NA,2,"家族","家族"
9798,2,44,11,0,0,1,1,1,8,1,1,NA,8,NA,7.25,"自分","自分"
9799,2,63,19,0,0,1,0,8,8,1,1,8,8,8,8,"自分","自分"
9800,1,40,30,0,0,1,1,8,8,1.5,1.5,8,8,2,3.75,"自分","自分"
9801,1,43,14,0,0,0,1,6.5,7.25,3,3,8,5.25,2,2,"家族","家族"
9802,1,37,27,0,0,0,1,8,8,1,1,8,8,7.5,8,"家族","家族"
9803,2,36,22,0,0,0,1,6.5,6.5,1.25,1.25,6.5,4.75,8,NA,"自分","自分"
9804,2,46,1,0,0,1,0,8,8,2.5,2.5,8,8,8,8,"自分","自分"
9805,2,48,19,0,1,0,0,8,7.75,4,4,5,3.5,1,NA,"自分","自分"
9806,1,45,27,0,0,1,1,6.5,6.5,3.5,3.5,2,2,2,2,"配偶者","配偶者"
9807,1,43,11,0,0,1,1,7,8,2.75,2.75,6.5,8,2,2,"配偶者","配偶者"
9808,1,34,22,0,1,0,0,6,6.5,2.25,2.25,6,3.5,6,3.5,"自分","自分"
9809,1,32,13,0,0,1,1,4.5,6.25,NA,NA,NA,NA,NA,NA,"自分","自分"
9810,1,38,10,0,1,0,0,1,7.5,8,8,NA,8,NA,7.75,"自分","自分"
9811,2,32,24,0,0,0,1,8,8,3.25,3.25,8,5,8,8,"自分","自分"
9812,1,35,7,0,0,1,1,4.5,5,3.5,3.5,4,5,3.5,5,"配偶者","配偶者"
9813,2,36,41,0,0,1,1,6.5,6.5,3.75,3.75,6.5,6.5,6.5,6.5,"自分","自分"
9814,1,41,35,0,0,0,1,8,8,1,1,4,4,8,8,"自分","自分"
9815,1,31,24,0,0,0,1,1,6.5,2,2,NA,6.5,NA,5.75,"家族","家族"
9816,2,60,31,0,0,1,0,8,8,4,4,8,6.5,6.5,5.5,"自分","自分"
9817,2,40,27,0,1,0,0,6,5.5,2,2,6,5.25,5,3.25,"自分","自分"
9818,2,52,14,0,0,1,1,6.5,6.5,2,2,6.5,6.5,6.5,6.25,"自分","自分"
9819,1,46,22,0,0,1,1,8,8,2,2,8,8,2,2.5,"配偶者","配偶者"
9820,1,44,13,0,0,1,1,8,8,3,3,8,6.5,8,6.5,"配偶者","配偶者"
9821,2,57,23,0,0,1,0,6.5,6.5,2.25,2.25,6.5,6,6.5,5.75,"自分","自分"
9822,1,45,1,0,1,0,0,3.5,4.25,NA,NA,NA,NA,NA,NA,"自分","自分"
9823,1,38,13,0,0,0,1,8,8,1,1,8,8,8,8,"家族","家族"
9824,2,37,9,0,0,1,1,4,5.25,5,5,4,5,4,5,"配偶者","配偶者"
9825,1,40,28,0,0,0,1,7.5,7.5,7,7,8,8,7.5,7.25,"自分","自分"
9826,1,53,26,0,0,0,1,8,8,1,1,8,6.25,8,NA,"自分","自分"
9827,1,47,40,0,0,1,1,8,7.75,2,2,8,8,8,7,"配偶者","配偶者"
9828,2,64,23,0,1,0,0,8,8,4.25,4.25,8,8,8,8,"自分","自分"
9829,2,48,40,0,0,0,1,8,8,3.5,3.5,8,8,8,8,"家族","家族"
9830,2,63,37,0,0,1,0,8,8,2.5,2.5,8,8,8,8,"自分","自分"
9831,1,57,1,0,1,0,0,7.5,1,NA,NA,6.5,NA,6.5,NA,NA,NA
9832,1,41,28,0,0,1,1,8,8,2.5,2.5,7.5,6.25,2.5,2.25,"配偶者","配偶者"
9833,2,43,1,0,1,0,0,1.5,5.5,1.75,1.75,NA,1.75,NA,NA,NA,NA
9834,2,51,27,0,1,0,0,6,6.5,1.75,1.75,6,5.25,6,4.75,"自分","自分"
9835,1,61,44,0,0,1,0,8,8,4.25,4.25,5.5,5,5.5,3.25,"配偶者","配偶者"
9836,1,62,41,0,0,1,0,6.5,6.5,4.5,4.5,6.5,4.5,2,2,"配偶者","配偶者"
9837,1,64,24,0,0,1,0,8,8,2,2,8,6.5,2,2,"配偶者","配偶者"
